36	1.35	1 	D	1.36->1.35	Without	1.36	FN	1.1->1.36	[D* Without] [P getting into] [A [E those] [C rumors] [E [R that] [H [A* rumors] [P upset] [A civilians] [A [R in] [E the] [C seaports] ] ] [L and] [H [A* rumors] [P deranged] [A [E the] [E public] [C mind] ] [G even] [A [E far] [C inland] ] ] ] ] 	[ D* ] [ P ] [ A [ E ] [ C ] [ E [ R ] [ H [ A* ] [ P ] [ A ] [ A [ R ] [ E ] [ C ] ] ] [ L ] [ H [ A* ] [ P ] [ A [ E ] [ E ] [ C ] ] [ G ] [ A [ E ] [ C ] ] ] ] ]	[D*][P][A]
36	1.71	1 	D	1.63->1.71	especially	1.63	FN	1.1->1.63	[F it] [G must be said] [F that] [A [E professional] [C seamen] ] [F were] [D especially] [P alarmed] 	[ F ] [ G ] [ F ] [ A [ E ] [ C ] ] [ F ] [ D ] [ P ]	[F][G][F][A][F][D][P]
36	1.124	1 	D	1.74->1.124	extremely	1.74	FN	1.1->1.74	[A [C [C [C Traders] [U ,] [C shipowners] [U ,] [C [C captains] [R of] [E vessels] ] [U ,] [C skippers] [U ,] [N and] [C [E master] [C mariners] ] ] [E [R from] [C [C Europe] [N and] [C America] ] ] ] [U ,] [C [E naval] [C officers] [E [R from] [E every] [C country] ] ] [U ,] [N and] [C [S at their heels] [A [E the] [E various] [E national] [C governments] [E [R on] [E these] [E two] [C continents] ] ] ] ] [U ,] [F were] [F all] [D extremely] [P disturbed] [A [R by] [E the] [C business] [U .] ] 	[ A [ C [ C [ C ] [ U ] [ C ] [ U ] [ C [ C ] [ R ] [ E ] ] [ U ] [ C ] [ U ] [ N ] [ C [ E ] [ C ] ] ] [ E [ R ] [ C [ C ] [ N ] [ C ] ] ] ] [ U ] [ C [ E ] [ C ] [ E [ R ] [ E ] [ C ] ] ] [ U ] [ N ] [ C [ S ] [ A [ E ] [ E ] [ E ] [ C ] [ E [ R ] [ E ] [ E ] [ C ] ] ] ] ] [ U ] [ F ] [ F ] [ D ] [ P ] [ A [ R ] [ E ] [ C ] [ U ] ]	[A][U][F][F][D][P][A]
37	1.45	1 	D	1.44->1.45	infinitely	1.44	FN	1.27->1.44	[A* object] [D infinitely] [S [C bigger] [N and] [C faster] ] [A [R than] [E any] [C whale] [U .] ] 	[ A* ] [ D ] [ S [ C ] [ N ] [ C ] ] [ A [ R ] [ E ] [ C ] [ U ] ]	[A*][D][S][A]
38	1.22	2 	D	1.2->1.22	[E pretty] [C closely] 	1.2	FN	1.1->1.2	[A [E The] [E relevant] [C data] [E [R on] [E this] [C apparition] ] [U ,] [E [A* data] [R as] [P recorded] [A [R in] [E various] [C logbooks] ] ] ] [U ,] [P agreed] [D [E pretty] [C closely] ] [A [R as to] [C [C [E the] [C structure] [R of] [E [E the] [C [C object] [N or] [C creature] ] [E [E in] [C question] ] ] ] [U ,] [C [E its] [E unprecedented] [C speed] [R of] [E movement] ] [U ,] [C [E its] [E startling] [E locomotive] [C power] ] [U ,] [N and] [C [E the] [E unique] [C vitality] [E [A* vitality] [R with which] [A it] [G seemed] [F to] [F be] [S gifted] ] ] ] ] 	[ A [ E ] [ E ] [ C ] [ E [ R ] [ E ] [ C ] ] [ U ] [ E [ A* ] [ R ] [ P ] [ A [ R ] [ E ] [ C ] ] ] ] [ U ] [ P ] [ D [ E ] [ C ] ] [ A [ R ] [ C [ C [ E ] [ C ] [ R ] [ E [ E ] [ C [ C ] [ N ] [ C ] ] [ E [ E ] [ C ] ] ] ] [ U ] [ C [ E ] [ E ] [ C ] [ R ] [ E ] ] [ U ] [ C [ E ] [ E ] [ E ] [ C ] ] [ U ] [ N ] [ C [ E ] [ E ] [ C ] [ E [ A* ] [ R ] [ A ] [ G ] [ F ] [ F ] [ S ] ] ] ] ]	[A][U][P][D][A]
38	1.81	2 	D	1.78->1.81	in bulk	1.78	FN	1.1->1.78	[A it] [P exceeded] [D in bulk] [A [E any] [C whale] [E [A* whale] [T previously] [P classified] [A [R by] [C science] ] ] ] 	[ A ] [ P ] [ D ] [ A [ E ] [ C ] [ E [ A* ] [ T ] [ P ] [ A [ R ] [ C ] ] ] ]	[A][P][D][A]
38	1.111	1 	D	1.92->1.111	would	1.92	FN	1.1->1.92	[A [E No] [C naturalist] [U ,] [E [C [N neither] [C Cuvier] [N nor] [C Lacépède] ] [U ,] [C [N neither] [C Professor Dumeril] [N nor] [C Professor de Quatrefages] ] ] ] [U ,] [D would] [F have] [P accepted] [A [S [E the] [C existence] ] [A [R of] [C [A [A [E such] [E a] [C monster] ] [S sight] ] [S unseen] ] [F -] [E [A* monster] [G specifically] [U ,] [S unseen] [A [R by] [E their] [E own] [E scientific] [C eyes] [U .] ] ] ] ] 	[ A [ E ] [ C ] [ U ] [ E [ C [ N ] [ C ] [ N ] [ C ] ] [ U ] [ C [ N ] [ C P ] [ N ] [ C P ] ] ] ] [ U ] [ D ] [ F ] [ P ] [ A [ S [ E ] [ C ] ] [ A [ R ] [ C [ A [ A [ E ] [ E ] [ C ] ] [ S ] ] [ S ] ] [ F ] [ E [ A* ] [ G ] [ U ] [ S ] [ A [ R ] [ E ] [ E ] [ E ] [ C ] [ U ] ] ] ] ]	[A][U][D][F][P][A]
39	1.67	1 	D	1.2->1.67	could	1.2	FN	1.1->1.2	[A [E [H [P Striking] [A [E an] [C average] [R of] [E [C observations] [E [A* observations] [P taken] [A [R at] [E different] [C times] ] ] ] ] ... [A* you] ] [F -] [H [P rejecting] [A [E those] [E timid] [C estimates] [E [A* estimates] [R that] [P gave] [A [E the] [C object] ] [A [E [E a] [C length] ] [R of] [E 200] [C feet] ] ] ] ... [A* you] ] [U ,] [L and] [H [P ignoring] [A [E those] [E exaggerated] [C views] [E [A* views] [R that] [P saw] [A it] [A [R as] [C [C [E a] [C mile] [E wide] ] [N and] [C [C* mile] [E three] [E long] ] ] ] ] ] ... [A* you] ] ] [F -] [C you] ] [D could] [D still] [P assert] [A [R that] [A [E this] [E phenomenal] [C creature] ] [D greatly] [P exceeded] [A [E the] [C dimensions] [R of] [E [C anything] [E [A* anything] [T then] [P known] [A [R to] [C ichthyologists] ] ] ] ] ] 	[ A [ E [ H [ P ] [ A [ E ] [ C ] [ R ] [ E [ C ] [ E [ A* ] [ P ] [ A [ R ] [ E ] [ C ] ] ] ] ] [ A* ] ] [ F ] [ H [ P ] [ A [ E ] [ E ] [ C ] [ E [ A* ] [ R ] [ P ] [ A [ E ] [ C ] ] [ A [ E [ E ] [ C ] ] [ R ] [ E ] [ C ] ] ] ] [ A* ] ] [ U ] [ L ] [ H [ P ] [ A [ E ] [ E ] [ C ] [ E [ A* ] [ R ] [ P ] [ A ] [ A [ R ] [ C [ C [ E ] [ C ] [ E ] ] [ N ] [ C [ ] [ E ] [ E ] ] ] ] ] ] [ A* ] ] ] [ F ] [ C ] ] [ D ] [ D ] [ P ] [ A [ R ] [ A [ E ] [ E ] [ C ] ] [ D ] [ P ] [ A [ E ] [ C ] [ R ] [ E [ C ] [ E [ A* ] [ T ] [ P ] [ A [ R ] [ C ] ] ] ] ] ]	[A][D][D][P][A]
39	1.68	1 	D	1.2->1.68	still	1.2	FN	1.1->1.2	[A [E [H [P Striking] [A [E an] [C average] [R of] [E [C observations] [E [A* observations] [P taken] [A [R at] [E different] [C times] ] ] ] ] ... [A* you] ] [F -] [H [P rejecting] [A [E those] [E timid] [C estimates] [E [A* estimates] [R that] [P gave] [A [E the] [C object] ] [A [E [E a] [C length] ] [R of] [E 200] [C feet] ] ] ] ... [A* you] ] [U ,] [L and] [H [P ignoring] [A [E those] [E exaggerated] [C views] [E [A* views] [R that] [P saw] [A it] [A [R as] [C [C [E a] [C mile] [E wide] ] [N and] [C [C* mile] [E three] [E long] ] ] ] ] ] ... [A* you] ] ] [F -] [C you] ] [D could] [D still] [P assert] [A [R that] [A [E this] [E phenomenal] [C creature] ] [D greatly] [P exceeded] [A [E the] [C dimensions] [R of] [E [C anything] [E [A* anything] [T then] [P known] [A [R to] [C ichthyologists] ] ] ] ] ] 	[ A [ E [ H [ P ] [ A [ E ] [ C ] [ R ] [ E [ C ] [ E [ A* ] [ P ] [ A [ R ] [ E ] [ C ] ] ] ] ] [ A* ] ] [ F ] [ H [ P ] [ A [ E ] [ E ] [ C ] [ E [ A* ] [ R ] [ P ] [ A [ E ] [ C ] ] [ A [ E [ E ] [ C ] ] [ R ] [ E ] [ C ] ] ] ] [ A* ] ] [ U ] [ L ] [ H [ P ] [ A [ E ] [ E ] [ C ] [ E [ A* ] [ R ] [ P ] [ A ] [ A [ R ] [ C [ C [ E ] [ C ] [ E ] ] [ N ] [ C [ ] [ E ] [ E ] ] ] ] ] ] [ A* ] ] ] [ F ] [ C ] ] [ D ] [ D ] [ P ] [ A [ R ] [ A [ E ] [ E ] [ C ] ] [ D ] [ P ] [ A [ E ] [ C ] [ R ] [ E [ C ] [ E [ A* ] [ T ] [ P ] [ A [ R ] [ C ] ] ] ] ] ]	[A][D][D][P][A]
39	1.76	1 	D	1.70->1.76	greatly	1.70	FN	1.2->1.70	[R that] [A [E this] [E phenomenal] [C creature] ] [D greatly] [P exceeded] [A [E the] [C dimensions] [R of] [E [C anything] [E [A* anything] [T then] [P known] [A [R to] [C ichthyologists] ] ] ] ] 	[ R ] [ A [ E ] [ E ] [ C ] ] [ D ] [ P ] [ A [ E ] [ C ] [ R ] [ E [ C ] [ E [ A* ] [ T ] [ P ] [ A [ R ] [ C ] ] ] ] ]	[R][A][D][P][A]
